epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2767.36,1.76707,1.09543,0.00078,0.73613,0.59058,0.69119,0.40609,1.60824,1.09945,0.00087,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2851.67,1.79795,1.19089,0.00078,0.67047,0.61782,0.67461,0.38744,1.6368,1.09441,0.00088,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2935.89,1.73952,1.08421,0.00076,0.68347,0.6447,0.70011,0.40923,1.60201,0.99665,0.00086,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3019.96,1.79288,1.14263,0.00079,0.70901,0.61433,0.69742,0.40546,1.59888,1.02286,0.00085,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3104.02,1.78334,1.12072,0.00077,0.69692,0.60406,0.69212,0.40461,1.60615,1.02927,0.00086,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3188.21,1.70746,1.08069,0.00077,0.70678,0.61101,0.68877,0.39855,1.60555,1.05292,0.00086,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3272.14,1.76537,1.08455,0.00074,0.70029,0.62318,0.70486,0.41281,1.58851,0.97522,0.00085,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3356.76,1.75763,1.10746,0.00074,0.72007,0.60653,0.6958,0.41068,1.59227,1.06122,0.00084,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3440.86,1.76232,1.09125,0.00077,0.70245,0.62028,0.69544,0.41172,1.59173,1.04486,0.00085,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3525.04,1.78299,1.15968,0.00076,0.71219,0.63411,0.70669,0.41288,1.60296,0.98809,0.00085,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3609.45,1.73915,1.08946,0.00076,0.70621,0.6415,0.70399,0.40721,1.60821,1.03873,0.00086,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3693.7,1.77175,1.05928,0.00076,0.69903,0.6366,0.7114,0.41713,1.61267,1.05836,0.00087,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3778.08,1.75158,1.04754,0.00075,0.70708,0.65208,0.72406,0.42019,1.59866,1.01588,0.00085,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3862.62,1.71863,1.08771,0.00077,0.71433,0.63405,0.70956,0.41877,1.60835,1.00287,0.00085,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3946.86,1.66917,1.02994,0.00076,0.73024,0.64178,0.72352,0.42192,1.5947,0.98414,0.00085,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4031.32,1.76074,1.07822,0.00079,0.72944,0.62899,0.71324,0.42326,1.55753,0.9636,0.00083,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4115.75,1.71203,1.01478,0.00074,0.70285,0.64906,0.72526,0.42671,1.57188,0.96731,0.00083,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4200.1,1.72146,1.01351,0.00073,0.73277,0.64412,0.71983,0.42944,1.56557,0.99421,0.00082,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4284.77,1.75076,1.05735,0.00072,0.74373,0.64308,0.73464,0.43278,1.55828,0.94784,0.00082,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4369.13,1.68604,1.02962,0.00075,0.69985,0.65951,0.72922,0.43712,1.561,0.95861,0.00083,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4453.58,1.70423,1.04591,0.00075,0.71794,0.65298,0.7311,0.43145,1.57167,0.95511,0.00084,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4537.25,1.75477,1.03019,0.00074,0.71849,0.65136,0.72672,0.42673,1.58854,1.03235,0.00083,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4621.52,1.72352,1.06855,0.00075,0.72396,0.64176,0.73014,0.43554,1.5628,0.94621,0.00083,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4705.57,1.71851,1.05948,0.00074,0.70439,0.66324,0.71692,0.4242,1.58035,0.99411,0.00083,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4789.77,1.69646,0.98321,0.00075,0.71855,0.65543,0.73511,0.43262,1.55687,0.96453,0.00082,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4874.05,1.72051,1.03818,0.00075,0.73028,0.65372,0.73209,0.43822,1.54422,0.95513,0.00081,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4958.5,1.70889,1.00611,0.00074,0.74451,0.64061,0.73653,0.42716,1.59425,0.97371,0.00084,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
