epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
137,11622.6,1.60796,0.82189,0.00067,0.75305,0.69789,0.78184,0.48695,1.46191,0.86862,0.00076,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,11706.9,1.58484,0.83066,0.00065,0.76137,0.68614,0.77993,0.48512,1.46177,0.8865,0.00076,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,11791.2,1.59321,0.81714,0.00066,0.75382,0.68885,0.77874,0.48646,1.46233,0.86586,0.00076,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
140,11875.5,1.59606,0.81562,0.00067,0.7532,0.69411,0.77876,0.48425,1.45322,0.86523,0.00076,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
141,11959.8,1.55941,0.83558,0.00066,0.73517,0.7019,0.7783,0.48508,1.46802,0.87648,0.00076,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
142,12043.7,1.60425,0.85588,0.00065,0.77074,0.67993,0.77441,0.4836,1.46029,0.87672,0.00076,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
143,12128.1,1.58653,0.81739,0.00064,0.7603,0.67982,0.77745,0.48517,1.46323,0.87162,0.00076,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
144,12212,1.57687,0.81859,0.00067,0.77305,0.67511,0.77677,0.48165,1.46741,0.85687,0.00076,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281
145,12296.2,1.57741,0.81725,0.00067,0.75075,0.69419,0.78065,0.4839,1.47007,0.84739,0.00076,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
146,12380.5,1.55365,0.81171,0.00063,0.76702,0.67963,0.78223,0.48645,1.457,0.85456,0.00076,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
147,12464.5,1.60207,0.85635,0.00066,0.74259,0.70924,0.77813,0.48638,1.45713,0.86355,0.00076,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
148,12548.7,1.55489,0.81561,0.00065,0.75307,0.69341,0.78071,0.48531,1.46007,0.88251,0.00076,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
149,12632.9,1.56647,0.82295,0.00064,0.73704,0.7006,0.77636,0.48068,1.46289,0.88303,0.00076,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
150,12717.2,1.5839,0.81971,0.00066,0.71099,0.72451,0.77778,0.48701,1.45801,0.87524,0.00075,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083
151,12801.6,1.59729,0.86416,0.00064,0.75706,0.69767,0.77726,0.48427,1.46343,0.86625,0.00076,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
152,12885.6,1.56145,0.81508,0.00067,0.75886,0.69372,0.78406,0.49155,1.45893,0.8676,0.00076,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017
153,12970.1,1.53989,0.80879,0.00067,0.75317,0.7156,0.78795,0.49238,1.45419,0.85448,0.00075,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
154,13054.6,1.58638,0.8182,0.00063,0.74999,0.70197,0.7832,0.49147,1.45585,0.86444,0.00076,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
155,13138.9,1.57912,0.80522,0.00065,0.71133,0.73154,0.78,0.49067,1.44312,0.87103,0.00075,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
156,13222.9,1.54701,0.79782,0.00065,0.73926,0.70156,0.78045,0.49045,1.45205,0.88654,0.00075,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
157,13308,1.58699,0.8266,0.00066,0.75287,0.70638,0.77701,0.48817,1.45308,0.87729,0.00076,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
158,13392.3,1.56643,0.78875,0.00063,0.77617,0.68292,0.77474,0.48654,1.45648,0.87821,0.00076,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819
159,13476.7,1.54948,0.78954,0.00064,0.76854,0.69375,0.77931,0.48761,1.45638,0.86667,0.00076,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
160,13560.7,1.52789,0.80427,0.00064,0.74401,0.70353,0.78205,0.49092,1.44804,0.86413,0.00076,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
161,13644.7,1.57849,0.80338,0.00064,0.74413,0.70721,0.78084,0.48795,1.44792,0.88379,0.00075,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
162,13729.3,1.59024,0.79571,0.00065,0.76844,0.68777,0.77939,0.48693,1.44934,0.8818,0.00075,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687
163,13813.8,1.54114,0.777,0.00062,0.73857,0.70974,0.7778,0.48655,1.44261,0.86029,0.00075,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
164,13899,1.54148,0.75475,0.00064,0.74439,0.71266,0.78322,0.49066,1.44064,0.85084,0.00075,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621
165,13983.9,1.53122,0.7833,0.00064,0.74178,0.71234,0.7828,0.49064,1.4386,0.85724,0.00075,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
166,14068.2,1.56695,0.81136,0.00065,0.75628,0.70312,0.78037,0.48997,1.43802,0.844,0.00075,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
167,14152.5,1.52504,0.8099,0.00062,0.76309,0.69595,0.77864,0.49003,1.44675,0.86101,0.00075,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
168,14236.5,1.52247,0.77656,0.00064,0.73603,0.71933,0.78195,0.49235,1.45346,0.85758,0.00076,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489
169,14320.9,1.51995,0.77491,0.00063,0.75019,0.69894,0.77812,0.48734,1.45223,0.88397,0.00075,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
170,14405.4,1.52169,0.79287,0.00065,0.72635,0.71471,0.77593,0.48765,1.45302,0.87784,0.00075,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423
171,14489.2,1.58178,0.7943,0.00063,0.74579,0.70619,0.78055,0.48851,1.45032,0.87909,0.00075,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
172,14573.1,1.5245,0.76005,0.00062,0.74119,0.7101,0.77705,0.48613,1.44993,0.86758,0.00075,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
173,14657.2,1.4976,0.76894,0.00063,0.7258,0.7207,0.7768,0.48651,1.44756,0.86576,0.00075,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
